family,point,check,key,maxdiff,tol,pass
origin_zc,calibration,H_EZ_threaded_vs_serial,workers=10,0.0,1.0e-12,true
origin_zc,calibration,H_ZZ_blas_syrk_vs_reference,K1_1,8.43769498715119e-15,1.0e-9,true
origin_zc,calibration,H_ZZ_blas_gemm_vs_reference,K1_1,8.43769498715119e-15,1.0e-9,true
origin_zc,calibration,H_ZZ_threaded_packed_vs_reference,K1_1_workers=10,1.1723955140041653e-13,1.0e-9,true
origin_zc,non_calibration,H_EZ_threaded_vs_serial,workers=10,0.0,1.0e-12,true
origin_zc,non_calibration,H_ZZ_blas_syrk_vs_reference,K1_1,6.661338147750939e-15,1.0e-9,true
origin_zc,non_calibration,H_ZZ_blas_gemm_vs_reference,K1_1,6.661338147750939e-15,1.0e-9,true
origin_zc,non_calibration,H_ZZ_threaded_packed_vs_reference,K1_1_workers=10,9.192646643896296e-14,1.0e-9,true
origin_zc,solver_trajectory,H_EZ_threaded_vs_serial,workers=10,0.0,1.0e-12,true
origin_zc,solver_trajectory,H_ZZ_blas_syrk_vs_reference,K1_1,5.773159728050814e-15,1.0e-9,true
origin_zc,solver_trajectory,H_ZZ_blas_gemm_vs_reference,K1_1,5.773159728050814e-15,1.0e-9,true
origin_zc,solver_trajectory,H_ZZ_threaded_packed_vs_reference,K1_1_workers=10,1.3633538742396922e-13,1.0e-9,true
cm_meanzc,calibration_UNSOLVED_TIMING_ONLY,H_EZ_threaded_vs_serial,workers=10,0.0,1.0e-12,true
cm_meanzc,calibration_UNSOLVED_TIMING_ONLY,H_ZZ_blas_syrk_vs_reference,K1_1,7.549516567451064e-15,1.0e-9,true
cm_meanzc,calibration_UNSOLVED_TIMING_ONLY,H_ZZ_blas_gemm_vs_reference,K1_1,7.549516567451064e-15,1.0e-9,true
cm_meanzc,calibration_UNSOLVED_TIMING_ONLY,H_ZZ_threaded_packed_vs_reference,K1_1_workers=10,1.283417816466681e-13,1.0e-9,true
cm_meanzc,calibration_UNSOLVED_TIMING_ONLY,H_CZ_threaded_vs_serial,workers=10,0.0,1.0e-12,true
cm_meanzc,non_calibration_UNSOLVED_TIMING_ONLY,H_EZ_threaded_vs_serial,workers=10,0.0,1.0e-12,true
cm_meanzc,non_calibration_UNSOLVED_TIMING_ONLY,H_ZZ_blas_syrk_vs_reference,K1_1,7.549516567451064e-15,1.0e-9,true
cm_meanzc,non_calibration_UNSOLVED_TIMING_ONLY,H_ZZ_blas_gemm_vs_reference,K1_1,7.549516567451064e-15,1.0e-9,true
cm_meanzc,non_calibration_UNSOLVED_TIMING_ONLY,H_ZZ_threaded_packed_vs_reference,K1_1_workers=10,1.283417816466681e-13,1.0e-9,true
cm_meanzc,non_calibration_UNSOLVED_TIMING_ONLY,H_CZ_threaded_vs_serial,workers=10,0.0,1.0e-12,true
cm_meanzc,solver_trajectory_UNSOLVED_TIMING_ONLY,H_EZ_threaded_vs_serial,workers=10,0.0,1.0e-12,true
cm_meanzc,solver_trajectory_UNSOLVED_TIMING_ONLY,H_ZZ_blas_syrk_vs_reference,K1_1,7.549516567451064e-15,1.0e-9,true
cm_meanzc,solver_trajectory_UNSOLVED_TIMING_ONLY,H_ZZ_blas_gemm_vs_reference,K1_1,7.549516567451064e-15,1.0e-9,true
cm_meanzc,solver_trajectory_UNSOLVED_TIMING_ONLY,H_ZZ_threaded_packed_vs_reference,K1_1_workers=10,1.283417816466681e-13,1.0e-9,true
cm_meanzc,solver_trajectory_UNSOLVED_TIMING_ONLY,H_CZ_threaded_vs_serial,workers=10,0.0,1.0e-12,true
